Rule   (Support, Confidence) 
2 -> 33  (28.5714%, 100%)
5 -> 33  (78.5714%, 100%)
2 -> 1,33  (28.5714%, 100%)
1,2 -> 33  (28.5714%, 100%)
5 -> 1,33  (78.5714%, 100%)
1,5 -> 33  (78.5714%, 100%)
2 -> 9,33  (28.5714%, 100%)
2,9 -> 33  (28.5714%, 100%)
2 -> 16,33  (21.4286%, 100%)
2,16 -> 33  (21.4286%, 100%)
2 -> 21,33  (28.5714%, 100%)
2,21 -> 33  (28.5714%, 100%)
2 -> 23,33  (28.5714%, 100%)
2,23 -> 33  (28.5714%, 100%)
2 -> 26,33  (28.5714%, 100%)
2,26 -> 33  (28.5714%, 100%)
2 -> 28,33  (28.5714%, 100%)
2,28 -> 33  (28.5714%, 100%)
2 -> 31,33  (14.2857%, 100%)
2,31 -> 33  (14.2857%, 100%)
5 -> 3,33  (57.1429%, 100%)
3,5 -> 33  (57.1429%, 100%)
5 -> 9,33  (78.5714%, 100%)
5,9 -> 33  (78.5714%, 100%)
5 -> 16,33  (14.2857%, 100%)
5,16 -> 33  (14.2857%, 100%)
5 -> 21,33  (78.5714%, 100%)
5,21 -> 33  (78.5714%, 100%)
5 -> 23,33  (78.5714%, 100%)
5,23 -> 33  (78.5714%, 100%)
5 -> 26,33  (78.5714%, 100%)
5,26 -> 33  (78.5714%, 100%)
5 -> 28,33  (78.5714%, 100%)
5,28 -> 33  (78.5714%, 100%)
16,31 -> 33  (14.2857%, 100%)
2 -> 1,9,33  (28.5714%, 100%)
1,2 -> 9,33  (28.5714%, 100%)
2,9 -> 1,33  (28.5714%, 100%)
1,2,9 -> 33  (28.5714%, 100%)
2 -> 1,16,33  (21.4286%, 100%)
1,2 -> 16,33  (21.4286%, 100%)
2,16 -> 1,33  (21.4286%, 100%)
1,2,16 -> 33  (21.4286%, 100%)
2 -> 1,21,33  (28.5714%, 100%)
1,2 -> 21,33  (28.5714%, 100%)
2,21 -> 1,33  (28.5714%, 100%)
1,2,21 -> 33  (28.5714%, 100%)
2 -> 1,23,33  (28.5714%, 100%)
1,2 -> 23,33  (28.5714%, 100%)
2,23 -> 1,33  (28.5714%, 100%)
1,2,23 -> 33  (28.5714%, 100%)
2 -> 1,26,33  (28.5714%, 100%)
1,2 -> 26,33  (28.5714%, 100%)
2,26 -> 1,33  (28.5714%, 100%)
1,2,26 -> 33  (28.5714%, 100%)
2 -> 1,28,33  (28.5714%, 100%)
1,2 -> 28,33  (28.5714%, 100%)
2,28 -> 1,33  (28.5714%, 100%)
1,2,28 -> 33  (28.5714%, 100%)
2 -> 1,31,33  (14.2857%, 100%)
1,2 -> 31,33  (14.2857%, 100%)
2,31 -> 1,33  (14.2857%, 100%)
1,2,31 -> 33  (14.2857%, 100%)
5 -> 1,3,33  (57.1429%, 100%)
1,5 -> 3,33  (57.1429%, 100%)
3,5 -> 1,33  (57.1429%, 100%)
1,3,5 -> 33  (57.1429%, 100%)
5 -> 1,9,33  (78.5714%, 100%)
1,5 -> 9,33  (78.5714%, 100%)
5,9 -> 1,33  (78.5714%, 100%)
1,5,9 -> 33  (78.5714%, 100%)
5 -> 1,16,33  (14.2857%, 100%)
1,5 -> 16,33  (14.2857%, 100%)
5,16 -> 1,33  (14.2857%, 100%)
1,5,16 -> 33  (14.2857%, 100%)
5 -> 1,21,33  (78.5714%, 100%)
1,5 -> 21,33  (78.5714%, 100%)
5,21 -> 1,33  (78.5714%, 100%)
1,5,21 -> 33  (78.5714%, 100%)
5 -> 1,23,33  (78.5714%, 100%)
1,5 -> 23,33  (78.5714%, 100%)
5,23 -> 1,33  (78.5714%, 100%)
1,5,23 -> 33  (78.5714%, 100%)
5 -> 1,26,33  (78.5714%, 100%)
1,5 -> 26,33  (78.5714%, 100%)
